package,file,row_id,current_ru,replacement,reason,disposition
addcont_02_text01,message/d220.mbe/000_Sheet1.csv,d220_090_060,"Они пришли к взаимопониманию...
Я думаю, их кулаки действительно говорили!","Они наконец поняли друг друга...
Похоже, кулаки и правда помогли им договориться!",английская идиома fists did the talking была переведена буквально,confirmed_style_rewrite
patch_text01,message/arena01.mbe/000_Sheet1.csv,arena01_f001_003_030,"""Монзаэмон и друзья"" уже здесь! Они действительно выглядят
знакомыми, но будь я проклят, если смогу их вспомнить!","«Монзаэмон и друзья» уже здесь! Они до боли знакомы,
но хоть убей — не могу вспомнить!",калька sure do look familiar звучала механически,confirmed_style_rewrite
patch_text01,message/arena01.mbe/000_Sheet1.csv,arena01_m320_030_020,"Без лишних слов, встречаем чемпиона Гран-при подземелья Синдзюку!
Боец, действительно достойный этого титула!","Без лишних слов встречаем чемпиона Гран-при подземелья
Синдзюку — бойца, по праву достойного этого титула!",лишняя запятая разрывала определение и делала реплику неестественной,confirmed_style_rewrite
patch_text01,message/battle.mbe/000_Sheet1.csv,1200020150,Уф... Мои брат и сестра действительно явились...,Уф... Брат с сестрой выкладываются по полной...,"showing up означает хорошо проявлять себя, а не физически являться",confirmed_style_rewrite
patch_text01,message/d01.mbe/000_Sheet1.csv,f_d0101_0120_0040,... тогда Грейсеновамон действительно может появиться.,...тогда может появиться ГрейсНовамон.,убраны калька-усилитель и лишний пробел; имя приведено к принятому написанию,confirmed_style_rewrite
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0201_810_0030,"Должен сказать, этот парень был довольно силен. Я бы с
удовольствием провел с ними еще один раунд.","Надо признать, тот парень был силён. Я бы с удовольствием
сразился с ним ещё раз.",them ошибочно превратило одного соперника во множественное число,confirmed_style_rewrite
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0202_0090_0050,"Однако отогнать титанов - нелегкий подвиг... Люди, должно быть,
довольно выносливые существа.","Однако прогнать Титанов непросто... Похоже,
люди — очень крепкие создания.",исправлена калька pretty tough creatures и русская связка,confirmed_style_rewrite
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0202_0490_0020,"... Но они показали нам, как драться, так что, думаю, я
действительно кое-что извлек из всего этого. Это очень странное чувство.","...Но они научили нас сражаться, так что я всё-таки
кое-что получила. Странное чувство.",буквальный каркас упрощён; форма получила согласована с Архнемон,confirmed_style_rewrite
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0202_0530_0030,"Что ж, вражеский генерал действительно сбежал, так что я думаю,
что с нами все в порядке в этом отношении.","Что ж, вражеский генерал сбежал, так что с этой стороны
всё должно быть в порядке.",in this regard было переведено буквальным канцелярским оборотом,confirmed_style_rewrite
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0203_0010_0040,"""Если вы голодны, купите немного ДигиМясо в магазине на главной
улице. Только не ешьте слишком много. Это действительно вкусно!""","""Если проголодаетесь, купите немного ДигиМяса в магазине
на главной улице. Только не переедайте — оно очень вкусное!""",исправлены падеж ДигиМяса и буквальная конструкция it's really good,confirmed_style_rewrite
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0204_0470_0020,"О, но ты выглядишь довольно аппетитно. Теперь, какую часть мне
съесть первой...","О, а ты выглядишь аппетитно. С какой бы части начать...","убрана механическая связка теперь, какую часть мне съесть первой",confirmed_style_rewrite
patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0301_0250_0080,"И все же я действительно начинаю думать, что мне не помешал бы
перерыв.","И всё же, пожалуй, мне не помешал бы перерыв.",starting to think было калькировано как начинаю думать,confirmed_style_rewrite
patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0302_0160_0030,"Я борюсь! Борюсь за свою жизнь! Ты действительно собираешься
просто стоять и смотреть!?","Я борюсь! Борюсь за свою жизнь! А ты так и будешь
стоять и смотреть?!",are you really gonna stand было переведено громоздкой калькой,confirmed_style_rewrite
patch_text01,message/d04.mbe/000_Sheet1.csv,f_d0404_0380_0020,"Прошло много времени! Рад тебя видеть. Мой внешний вид довольно
сильно изменился, как ты видишь, но у меня всё хорошо.","Давно не виделись! Рад тебя видеть. Как видишь, я сильно
изменился, но у меня всё хорошо.",my appearance has changed было переведено механически,confirmed_style_rewrite
patch_text01,message/d04.mbe/000_Sheet1.csv,f_d0404_9040_0030,"Хмпф! Не хочешь узреть мою мощь?! ...Понятно.
Ты, должно быть, просто боишься!","Хмпф! Не хочешь узреть мою мощь?! Ясно.
Ты, должно быть, просто боишься!",лишнее начальное многоточие после завершённого вопроса ломало пунктуацию,confirmed_style_rewrite
patch_text01,message/d05.mbe/000_Sheet1.csv,f_d0501_0080_0020,"Вы не похожи на Титанов, это точно. Но сейчас действительно не
лучшее время приходить сюда.",Вы точно не Титаны. Но сейчас сюда лучше не соваться.,this really isn't the best time было передано буквальной конструкцией,confirmed_style_rewrite
patch_text01,message/d05.mbe/000_Sheet1.csv,f_d0551_0020_0010,"Эй, Газимон! В Кокувамоне было действительно весело!","Эй, Газимон! В Зале Героя Кокувамона было так весело!","Kokuwamon place — Зал Героя Кокувамона, а не место «в Кокувамоне»",confirmed_style_rewrite
patch_text01,message/d07.mbe/000_Sheet1.csv,f_d0703_9010_0050,"Наконец-то я выиграл один. Все всегда были не в моей лиге, так
что у меня была довольно неудачная серия.","Наконец-то я победил! Все соперники были мне не по зубам,
и поражения шли одно за другим.",out of my league и losing streak были переведены буквальными кальками,confirmed_style_rewrite
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0902_0030_0130,"Я просто отказываюсь от жизни, которая в любом случае уже была
на грани смерти. Я думаю, что это довольно небольшая цена.","Я всего лишь расстаюсь с жизнью, которая и так висит
на волоске. Думаю, это небольшая цена.",rather small price было передано неестественным усилителем,confirmed_style_rewrite
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0903_0030_0110,"Этот тоже находится довольно высоко, так что нам следует
использовать ту же стратегию, что и в прошлый раз.","Этот фрукт тоже висит высоко, так что поступим,
как в прошлый раз.",восстановлен предмет разговора и убран механический каркас,confirmed_style_rewrite
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0903_0040_0100,"Этот тоже довольно высоко. Теперь мы знаем, как это делается!","Этот фрукт тоже висит высоко. Но теперь мы знаем,
что делать!",восстановлен предмет разговора и естественная формулировка,confirmed_style_rewrite
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0904_0210_0020,"Ситуация здесь довольно мрачная. Как вы можете видеть,
Нептунемон и остальные участвуют в битве.","Здесь всё очень плохо. Как видите, Нептунемон
и остальные уже сражаются.",engaged in battle было переведено канцелярским участвуют в битве,confirmed_style_rewrite
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0904_0440_0010,"Извините, но это действительно много значит для меня. Я хочу
быть настолько полезной, насколько могу!","Простите, но для меня это очень важно. Я хочу помочь
всем, чем смогу!",as helpful as I can было переведено буквальной сравнительной конструкцией,confirmed_style_rewrite
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0905_0010_0170,Однако! Есть одна довольно существенная проблема...,Однако есть одна серьёзная проблема...,rather significant problem не требует громоздкого усилителя,confirmed_style_rewrite
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0905_0080_0060,"Действительно! Давайте активируем мост. Мы немного отстаем от
графика, так что поторопись, Кокувамон!","Точно! Пора включить мост. Мы немного отстаём
от графика, так что поторопись, Кокувамон!",Indeed и let's activate были переведены дословно и неразговорно,confirmed_style_rewrite
