string2 0,string 1
1,"Один из главных торговых районов Японии.
В его многочисленных зданиях работают
разные магазины и рестораны."
2,"Центр торговли электроникой и колыбель
многих японских субкультур. Всемирно
известный туристический район."
3,"Офисный район с множеством небоскрёбов.
В отличие от Хигаси-Синдзюку, здесь работает
множество офисных служащих."
4,"Торговый район недалеко от станции Синдзюку.
Он сохранил традиционную атмосферу,
но по-прежнему полон жизни."
101,"Дальняя окраина Цифрового мира Илиады —
суровый край, который часто сравнивают
с открытым космосом."
102,"Центральный город Цифрового мира Илиады,
которым правит бог скорости Меркуримон."
103,"Водный регион, окружённый прекрасным океаном.
Здесь обитает множество дигимонов,
связанных с водой."
104,"Край бескрайних лесов вокруг Мирового Древа,
где сходятся бесчисленные жилы
Течения."
105,"Промышленный район Цифрового мира Илиады.
Под управлением Вулканусмона он снабжает
всю землю электроэнергией."
106,"Здесь стоит храм божественного оракула Юномон,
хранительницы врат, связанных
с миром людей."
107,"Священная земля изгнанных Титанов.
Без жил, питающих её Течением,
она стала бесплодной пустошью."
