severity,category,package,file,row_id,line,speaker,detail,current_translation,source_game_text01
2,latin_mixed,addcont_01_text01,text/char_name_dlc01.mbe/000_Sheet1.csv,char_OMEGAMONZWART_D,12,,Defeat,Омегамон Зварт Defeat,Omnimon Zwart Defeat
2,latin_mixed,addcont_01_text01,text/char_name_dlc01.mbe/000_Sheet1.csv,char_OMEGAMONZWART_D_BIG,13,,Defeat,Омегамон Зварт Defeat,Omnimon Zwart Defeat
2,latin_mixed,addcont_01_text01,text/char_name_dlc01.mbe/000_Sheet1.csv,char_OMEGAMON_ALTER-B,14,,Alter-B,Омегамон Alter-B,Omnimon Alter-B
2,latin_mixed,addcont_01_text01,text/char_name_dlc01.mbe/000_Sheet1.csv,char_OMEGAMON_ALTER-B_BIG,15,,Alter-B,Омегамон Alter-B,Omnimon Alter-B
2,latin_mixed,addcont_01_text01,text/char_name_dlc01.mbe/000_Sheet1.csv,char_OMEGAMON_ALTER-S,10,,Alter-S,Омегамон Alter-S,Omnimon Alter-S
2,latin_mixed,addcont_01_text01,text/char_name_dlc01.mbe/000_Sheet1.csv,char_OMEGAMON_ALTER-S_BIG,11,,Alter-S,Омегамон Alter-S,Omnimon Alter-S
2,latin_mixed,addcont_01_text01,text/digimon_profile_dlc01.mbe/000_Sheet1.csv,digimon_0691_profile,5,,Alter-S,"Новая форма Омегамона, рождённая слиянием подвида
ВарГреймона БлицГреймона и подвида МеталГарурумона
КресГарурумона. Омегамон Alter-S отличается от
Омегамона, связанного с Королевскими рыцарями, но
сохраняет ту же универсальность: объединяет особые
способности двух дигимонов и обладает сопоставимой
силой. Как именно эти двое слились, неизвестно. Было
ли это чьей-то волей? Или слияние существует только
благодаря чьему-то желанию? Истина остаётся неясной.

Особым приёмом «Трансцендентная пушка» Омегамон Alter-S
стреляет плазмой из пушки в форме БлицГреймона.
А сила рассечения приёма «Высший меч» зависит от
энергии, накопленной в клинке. Полностью заряженный
Гаруру-меч способен рассечь что угодно.","A new form of Omnimon, born from a fusion between
the WarGreymon subspecies BlitzGreymon and the
MetalGarurumon subspecies CresGarurumon.
Omnimon Alter-S is a different being from the
Omnimon affiliated with the Royal Knights, but the
multi-capable performance combining the special
abilities of two Digimon remains the same, as does
its strength. How the pair came to fuse is a mystery.
Did someone will it into being? Or does this fusion
exist solely because of someone's wish? The truth
of the matter is unclear.

Omnimon Alter-S uses its special move Transcendent
Cannon to shoot plasma from its BlitzGreymon-
shaped cannon. In addition, the slashing power of its
move Supreme Sword varies depending on the energy
accumulated in the blade. Nothing exists that cannot
be cut by a fully charged Supreme Sword."
2,latin_mixed,addcont_01_text01,text/digimon_profile_dlc01.mbe/000_Sheet1.csv,digimon_0692_profile,6,,"Defeat, Zwart","Форма Омегамона Цварта, превращённая неизвестной
сущностью в берсерка через вирусную программу.
Любой дигимон, пересёкший путь Омегамона Zwart Defeat,
воспринимается им как зловещий враг, а приблизившихся
ждёт беспощадный натиск. Борьба между буйным вирусом
и остаточной вакцинной программой в его теле сделала
его нестабильным: он то изнемогает, то впадает в ярость
и не способен залечить раны. В один из редких мигов,
когда вакцинная программа позволила ему вернуть
самосознание, он связал оба оружия, чтобы ограничить
ущерб, который может причинить.","The form of Omnimon Zwart transformed into a
berserker after being infected with a virus program
by some entity. Any Digimon that crosses Omnimon
Zwart Defeat's path is viewed as a sinister foe, and
any who get close face a merciless onslaught. The
clash between the raging virus and the remnant
vaccine program inside its body has rendered it
unstable, causing it to cycle between exhaustion
and rampage while unable to heal its wounds. In
one of the rare moments the vaccine program was
able to push back enough for Omnimon Zwart
Defeat to regain its sense of self, it bound both
weapons to limit the damage it could do."
2,latin_mixed,addcont_01_text01,text/digimon_profile_dlc01.mbe/000_Sheet1.csv,digimon_0693_profile,7,,"Alter-B, Alter-S","Омегамон Alter-B — временная форма Омегамона Alter-S,
возникающая после того, как некая сущность намеренно
ввела в него Чёрный Дигитрон — вязкую субстанцию,
окрашивающую дигимонов в чёрный цвет. В этой форме
Омегамон становится сильнее, но теряет себя в
бессмысленной ярости, пока не вернётся обратно.","Omnimon Alter-B is a temporary form taken on by
Omnimon Alter-S after some entity had intentionally
introduced Black Digitron, a sort of ooze that turns
Digimon black, into its being. Omnimon is more
powerful in this form, but it loses itself in a mindless
rage until it changes back."
2,latin_mixed,addcont_01_text01,text/item_name_dlc01.mbe/000_Sheet1.csv,40002,3,,EX,Бустер пробуждения таланта EX: 01,Talent Awakening Booster EX: 01
2,latin_mixed,addcont_01_text01,text/item_ruby_dlc01.mbe/000_Sheet1.csv,40002,3,,EX,Бустер пробуждения таланта EX: 01,Talent Awakening Booster EX: 01
2,latin_mixed,addcont_02_text01,message/d220.mbe/000_Sheet1.csv,d220_080_050,87,char_BANCHOLEOMON,GAKU-RAN,"Понятно... Значит, куртка GAKU-RAN
и у тебя на плечах...","I see... So you also have a GAKU-RAN jacket
over your shoulders..."
2,latin_mixed,addcont_02_text01,text/char_name_dlc02.mbe/000_Sheet1.csv,char_OMEGAMON:MERCIFUL MODE,4,,MM,Омегамон MM,Omnimon MM
2,latin_mixed,addcont_02_text01,text/char_name_dlc02.mbe/000_Sheet1.csv,char_OMEGAMON:MERCIFUL MODE_BIG,5,,MM,Омегамон MM,Omnimon MM
2,latin_mixed,addcont_02_text01,text/digimon_profile_dlc02.mbe/000_Sheet1.csv,digimon_0448_profile,2,,"Photon, Spreads","Ангельская форма Омегамона с белыми крыльями,
развевающимися словно шарф. Осознав, что некоторых
можно спасти лишь через бой и поражение, Омегамон
преобразовал свою печаль и решимость в форму
Омегамон: Милосердный режим. Светло-голубые линии
Photon Spreads, похожие на слёзы на щеках, струятся
по всему телу и на короткое время резко усиливают его.
Это существо вершит суд над дигимонами, безвозвратно
сошедшими со своего пути, и тем самым спасает их.
Целями атак Омегамона: Милосердный режим всегда
становятся те, кто изначально обладал добрым сердцем.

«Трансцендентный меч» Омегамона преобразился в катану
«Грозный клинок», которой Милосердный режим одним
неохотным взмахом обезглавливает цель. «Высшая пушка»
превратилась в «Изящную пушку», стреляющую лазером
абсолютного нуля.","An angelic form of Omnimon with white wings that
flutter like a scarf. Upon realizing that some can only
be saved by fighting and defeating them, Omnimon's
sadness and resolve transformed it into Omnimon:
Merciful Mode. Photon Spread—pale blue lines of
light that resemble tears rolling down cheeks—flows
over its entire body, drastically boosting its power
for a short time. This being renders judgment upon
Digimon who have irrevocably strayed from their
path, saving them in the process. The targets of
Omnimon: Merciful Mode's attacks are always
those who originally possessed hearts of virtue.

Omnimon's Transcendent Sword has transformed
into a katana-like shape known as ""Fearsome Blade,""
with which Omnimon: Merciful Mode beheads its
target with a single, reluctant stroke. Omnimon's
special move Supreme Cannon has also transformed
into Graceful Cannon, which fires a laser of absolute
zero cold."
2,latin_mixed,addcont_02_text01,text/digimon_profile_dlc02.mbe/000_Sheet1.csv,digimon_0485_profile,4,,GAKU-RAN,"Крайне заносчивый дигимон-насекомое, привыкший жить,
подавляя окружающих. БанчоСтингмона называют самым
высокомерным среди дигимонов: свою гордость он ставит
превыше всего. Любая попытка её задеть встречает
безжалостное возмездие, кто бы ни был виновником.
Именно эта непримиримая гордость принесла ему титул
«Банчо». Панцири разных насекомых тщательно вплетены
в его символический GAKU-RAN, делая одежду прочной
как броня. Его особые приёмы — «Кровавый финал»,
пронзающий врагов бурами на руках, и «Небесная глубинная бомба»,
выпускающая минных жуков, взрывающихся при контакте.","An absolutely conceited Insectoid Digimon that
lives by overpowering those around it. Said to be
the most arrogant of all Digimon, BanchoStingmon
holds its pride above all else. Any act that threatens
to even mar its pride will be met with ruthless
retaliation, no matter who the perpetrator. This
uncompromising pridefulness has earned it the
title of ""Bancho."" The carapaces of various insects
are meticulously woven into BanchoStingmon's
emblematic GAKU-RAN, giving it a sturdy
construction. Its special moves are Bloody Finish,
skewering foes with the drills on its arms, and
Depth Charge Sky, releasing mine bugs that self-
destruct on contact with the enemy."
2,latin_mixed,addcont_02_text01,text/digimon_profile_dlc02.mbe/000_Sheet1.csv,digimon_0486_profile,5,,"Assemble, Nightmare","Фея-дигимон в тёмно-багровой куртке токко-фуку.
Яркие лепестки, оставшиеся со времён Лилимона,
потемнели, и прежняя мягкая прелесть уступила место
суровому облику. БанчоЛилимон убеждённо сражается
за слабых в беспощадном Цифровом мире и спас
бесчисленные жизни от нападений злобных дигимонов.
Куртка токко-фуку и титул «Банчо» служат доказательством
этой решимости. Его йо-йо становятся оружием в особых
приёмах: «Абсолютная территория» рассеивает врага вместе
с пространством вокруг него, «Nightmare Assemble» бросает
йо-йо во врага и поглощает его, а «Двойной лепесток»
обрушивает молниеносные удары ногами.","A Pixie Digimon draped in a deep crimson tokko-fuku
jacket. The florid petals from when it was Lillymon
have been dyed a dark color, shedding the sweet
impression it once had. BanchoLillymon has the
conviction to fight for the weak in the dog-eat-dog
Digital World, and has saved countless lives from
assault by fiendish Digimon. Its tokko-fuku jacket
and the title of ""Bancho"" are proof of this conviction.
BanchoLillymon has several special moves that
utilize its yo-yos as weapons. Absolute Territory cuts
up the enemy along with the very space around them,
Nightmare Assemble thrusts the yo-yos at its foe and
absorbs it, and Twin Petal unleashes flash kicks from
BanchoLillymon's gorgeous legs."
2,latin_mixed,addcont_02_text01,text/digimon_profile_dlc02.mbe/000_Sheet1.csv,digimon_0488_profile,7,,"Bats, Black, GAKU-RAN, Golden, Hickeys","Один из немногих носителей титула «Банчо», этот
рыцарственный и сострадательный дигимон отлично дерётся,
несмотря на малый рост. БанчоМамемон живёт независимо,
игнорируя законы Цифрового мира. Он помогает дигимонам,
которые, как и он сам, оказались отрезаны от мира, и даже
создал объединение «Маме-мон Рэнго», где они живут вместе.
Но идти против мирового порядка непросто: под предлогом
реорганизации ему бесчисленное число раз приходилось
сражаться с дигимонами, следующими правилам. И всё же он
посвящает Маме-мон Рэнго все силы. Титул «Банчо» он получил
за то, что отражал врагов, не потеряв ни одного товарища,
какой бы тяжёлой ни была ситуация. Как БанчоЛеомон, он
носит GAKU-RAN, защищающий от физических ударов, но почти
всегда отдаёт эту защиту товарищам. Его особые приёмы —
«Золотой натиск» с любимыми дубинками Golden Bats,
«Сэнбон Доккан», выбивающий братские Black Hickeys из
этих дубинок, и «Буккоми Отокодама», рывок вперёд на
тюремных цепях, свисающих с тела.","One of the few bearing the title of ""Bancho,"" this
deeply chivalrous and compassionate Digimon is great
in a scrap despite its small stature. BanchoMamemon
lives a self-reliant existence, ignoring the laws of the
Digital World. It extends a helping hand to Digimon
isolated from the world like itself, going so far as to
form an organization dubbed the ""Mamemon Alliance""
in which such Digimon live together. But going against
the order of the world is no easy task. It has fought
against Digimon that conform to rules under the
pretense of reorganization on countless occasions.
Even so, it devotes all of its energies toward the
Mamemon Alliance. BanchoMamemon received
the title of ""Bancho"" by repelling enemies without
losing a single comrade, no matter what dilemma came
along. Like BanchoLeomon, it wears a GAKU-RAN that
guards against impacts from physical attacks. That
being said, it almost always dedicates this defensive
ability to its comrades. BanchoMamemon uses its
special move Golden Rush to strike with its favorite
cudgels, the Golden Bats, and beat foes to a pulp, and
Senbon Dokkan to slam out its subordinates, the Black
Hickeys, with the same Golden Bats. It also uses
Bukkomi Otokodama to charge forward using the
prison chains hanging from its body."
2,latin_mixed,addcont_02_text01,text/item_name_dlc02.mbe/000_Sheet1.csv,41002,3,,EX,Бустер пробуждения таланта EX: 02,Talent Awakening Booster EX: 02
2,latin_mixed,addcont_02_text01,text/item_ruby_dlc02.mbe/000_Sheet1.csv,41002,3,,EX,Бустер пробуждения таланта EX: 02,Talent Awakening Booster EX: 02
2,latin_mixed,addcont_03_text01,message/d310.mbe/000_Sheet1.csv,d310_050_070,61,char_OMEGAMON-X,X-,"Нас с остальными четырьмя объединяет одно: в наших телах
содержится вещество, известное как «X-антитело».","What we and the other four have in common is that we
harbor a substance in our bodies known as ""the X Antibody."""
2,latin_mixed,addcont_03_text01,message/d310.mbe/000_Sheet1.csv,d310_060_130,77,char_DORUMON,X-,Омегамон и я — двое из этих Дигимонов с X-антителами.,Omnimon and I are two of these X Antibody Digimon.
2,latin_mixed,addcont_03_text01,message/d310.mbe/000_Sheet1.csv,d310_060_170,81,char_SIMMONS,X-,"Понятно. Выходит, разногласия вокруг X-программы —
и практические, и идеологические — раскололи вас.","I see. So, basically, you've been divided by practical and
ideological differences concerning this X Program."
2,latin_mixed,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,d320_010_050,6,char_DUKEMON_X,X-,"X-антитело — не орудие божественной воли.
Это всего лишь программа.","The X Antibody is no instrument of divine will.
It is a program, no more and no less."
2,latin_mixed,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,d320_030_070,57,char_KUZUHAMON,X-,"Д-Ты, там! Сдайте свои X-антитела!","Y-You, there! Hand over your X Antibodies!"
2,latin_mixed,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,d320_030_080,58,char_JESMON_X,X-,"Из-за X-антитела решается вопрос жизни и смерти,
поэтому многие пытаются отнять его силой.","Since possessing the X Antibody is a matter of life
and death, there are many who try to take it by force."
2,latin_mixed,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,d320_040_020,62,char_KUZUHAMON,X-,"Мы больше не будем их красть.
Пожалуйста, позвольте нам оставить свои X-антитела!","We won't try to steal them anymore,
so please, just let us keep our antibodies!"
2,latin_mixed,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,d320_040_030,63,char_MAGNAMON_X,X-,"Похоже, у них X-антитела внешние, а не внутренние.",It seems their X Antibodies are extrinsic rather than intrinsic.
2,latin_mixed,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,d320_040_040,64,char_SIMMONS,X-,"Внешний? Итак, существуют разные типы X-антител?",Extrinsic? So there are different types of X Antibodies?
2,latin_mixed,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,d320_040_080,68,char_JESMON_X,X-,"X-антитело полностью нейтрализует Программу X,
но его действие не вечно.","The X Antibody completely nullifies the X Program,
but it does not last forever."
2,latin_mixed,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,d320_040_200,80,char_OMEGAMON-X,X-,"Хм... Я чувствую чужое присутствие. Похоже, поблизости есть
и другие дигимоны, охотящиеся за X-антителом.","Hm... I am sensing the presence of others. Most likely, there are
more Digimon who are after the X Antibody lurking nearby."
2,latin_mixed,addcont_03_text01,message/digimon_chat_dlc03.mbe/000_Sheet1.csv,omex_001_2_reaction_char_OMEGAMON-X,6,,"Omega, inForce","Невероятная сила Omega inForce
позволяет мне мгновенно предсказывать будущее.","With the ultimate power, Omni inForce.
It allows me to read the future in an instant."
2,latin_mixed,addcont_03_text01,message/digimon_chat_dlc03.mbe/000_Sheet1.csv,omex_001_3_reaction_char_OMEGAMON-X,8,,"Omega, inForce","Omega inForce принадлежит мне и только мне.
Человек никогда не сможет владеть такой силой.","Omni inForce is mine, and mine alone.
It is not something a human could ever wield."
2,latin_mixed,addcont_03_text01,message/dlcep003_field.mbe/000_Sheet1.csv,dlc003_0090_0020,36,char_JESMON_X,X-,{next}[Сделать Джесмона (X-антитело) (Данные) союзником.],{next}[Make Jesmon (X Antibody) (Data) your ally.]
2,latin_mixed,addcont_03_text01,message/dlcep003_field.mbe/000_Sheet1.csv,dlc003_0100_0020,41,char_DUKEMON_X,X-,{next}[Сделать Дюкмон (X-антитело) (Вирус) союзником.],{next}[Make Gallantmon (X Antibody) (Virus) your ally.]
