string2 0,string 1
1,Тайна пропавшей футболки
2,Безграничное воображение
3,Тайное бегство
11,Помогите раненым
12,Лечение перемоткой времени
13,Самому дорогому человеку
14,Старый Дивермон
15,Старый Шеллмон
16,Старый Шеллмон из подземного мира
18,"Цвет, о котором говорит вода"
19,Прислушайся к голосу
24,Тайна скрытой медовой базы
26,Красивый голос! Мелодичная дыня
27,Красавица группы
28,Глурп группы
29,Найдите вокалиста!
30,Скрытая медовая база наносит ответный удар
31,Удобрение для души
32,Могучие братья Бермоны
33,Послание из-за пределов времени
38,Просьба кузнеца
39,Партнёр ремесленника
40,Чувствуешь себя обделённым?
41,Отложенное возвращение
42,Судебный процесс
43,Драгоценность ПлатинумНумемона
44,Есть - значит тренироваться
45,Вид сверху
46,Мечты о странствиях
47,Древовидные новации
48,Уборка мусора
49,Тот самый парень
50,Рёв мастера
52,Воспоминания о выставочных боях
53,Выставочные поединки минувших дней
55,Что такое любовь?
56,Предчувствия любви
57,Мой триумф
59,Хочу попасть в какое-нибудь легендарное место!
60,Нетерпение и решимость
61,Карточная игра Аполломона
62,Карточная игра Лунамона
63,Карточная игра «Храм яйца»
70,Защитите партнёра
71,Найди посланника
72,Отец Синдзюку
73,Защитите дигимона-малыша в прологе: подземелье
74,Защитите дигимона-малыша в прологе: правительственное здание
77,"Быстр в бою, быстр в работе"
78,Назад в небеса
82,Тоска по Акихабаре
83,Магазины Акихабары лучше всех
84,Владельцы магазинов Акихабары лучше всех
87,"Королевские рыцари, собирайтесь!"
88,Помощник из Шамбалы
89,Забывчивые помощники
90,Между мирами
91,Пропавший друг
92,Познать свою силу
93,Схватка с бессмертным конём
94,Секретами надо делиться
98,Альфа и Омега
99,Борьба одинокого создателя щита
100,Рост Ви-мона
101,Материалы приносить с собой
102,Достойный
103,Дуэли должны быть честными
104,Моргнёшь - пропустишь
105,Прекрасный рыцарский корпус
106,Искусное владение мечом
108,Жизнь на уровне частиц
109,Беды посредника
111,Упрямый боец?
112,Рамен яро-кей и чувство вины
113,Выбираем представителя людей!
114,Процветающая таверна Меркуримона * Не используется
116,Моя первая карточная битва
117,Карточные сражения
146,Для этой работы нужен подходящий костюм
147,Косплеер под прицелом
148,Знание - смертельный страх
149,На ладони неведомой руки
150,Подходящий пляжный наряд
151,Испытание храбрости Пегасмоном
152,От Пегасмона ко всему миру
153,Священное испытание Пиёмона
154,Стабильность Мирей
155,Невероятная легенда
156,Странное письмо
157,Спасение дигимона: отправление
158,Спасение дигимона: пробуждение
159,Лёгкий путь лучше всего
160,Как подбодрить воина
161,Побег из тюрьмы
162,Вершина карточного мира
163,Победите Апокалимона
164,Победите Миллениуммона
165,Победите Диабломона
166,Победите Армагеддемона
167,Решение Минервамон
168,Сбор батареек
169,Самое страшное лицо в мире
170,Воплощение великих амбиций
171,Наблюдение за подземным миром
172,Беды Дивермона
173,Я ещё нигде не чувствую себя своим
176,Претендент на финальную битву
177,
178,Подарок от хозяев
179,Заперт в туалете
180,Воспоминания об узах
181,
182,
183,Упрямый туман
184,
200,Мечты или реальность?
201,Все взгляды устремлены на меня!
202,Молчаливая зависть
208,Герой Сусаномон
211,Тестовый матч Королевских рыцарей
216,Встречи за пределами пространства-времени
217,Тестовый матч Олимпоса XII
300,Величайший ОМНИ-карнавал
500,Истина нового мира
920,Выжить до конца 1
921,Выжить до конца 2
922,Выжить до конца 3
923,Выжить до конца 4
930,Скорость - это победа 1
931,Скорость - это победа 2
932,Скорость - это победа 3
933,Скорость - это победа 4
945,Битва с боссом на время 1
946,Битва с боссом на время 2
947,Битва с боссом на время 3
948,Битва с боссом на время 4
950,Защитите гигантское ДигиМясо 1
951,Защитите гигантское ДигиМясо 2
952,Защитите гигантское ДигиМясо 3
953,Защитите гигантское ДигиМясо 4
960,Финальная битва: Апокалимон
961,Финальная битва: Агумон (узы храбрости)
962,Финальная битва: Габумон (узы дружбы)
963,Финальная битва: Империалдрамон DM
970,Зал опыта
971,Золотой зал
972,Зал материалов
980,Сразитесь с Абсолютным Дигимоном 1
981,Сразитесь с Абсолютным Дигимоном 2
982,Сразитесь с Абсолютным Дигимоном 3
983,Сразитесь с Абсолютным Дигимоном 4
