expected_gender,speaker_id,speaker_name,relative_path,row_id,word,context,text
female,char_MINERVAMON,Минервамон,message/battle.mbe/000_Sheet1.csv,1033010009,должен,"где сосредоточена их сила, должен сорвать атаку","Перед большим ходом всегда есть брешь. Сильный удар в то место,
где сосредоточена их сила, должен сорвать атаку!"
female,char_DIANAMON,Дианамон,message/battle.mbe/000_Sheet1.csv,1200020022,сделал,Ты так много сделал для нас,Ты так много сделал для нас...
female,char_MINERVAMON,Минервамон,message/battle.mbe/000_Sheet1.csv,1200020033,был,"Это был долгий путь, но в глубине души я знаю, что это наша","Это был долгий путь, но в глубине души я знаю, что это наша
последняя битва!"
female,char_MIREI,Мирей Микагура,message/d010.mbe/000_Sheet1.csv,d010_010_090,готов,"Если готов взяться за это задание,","Если готов взяться за это задание,
воспользуйся здешним лифтом."
female,char_VENUSMON,Венусмон,message/d03.mbe/000_Sheet1.csv,f_d0302_0240_0120,был,Мне просто нужен был какой-то рычаг для переговоров,"Мне просто нужен был какой-то рычаг для переговоров. Это не
означало лишить кого-либо жизни."
female,char_INORI,Инори Мисоно,message/d05.mbe/000_Sheet1.csv,f_d0501_0050_0200,стал,кто-то стал бы винить тебя за такой выбор,"Должно быть, это было так трудно для тебя... Но я не думаю, что
кто-то стал бы винить тебя за такой выбор."
female,char_RANAMON,Ранамон,message/d06.mbe/000_Sheet1.csv,f_d0604_0300_0060,был,Он был специально создан для содержания самых опасных,"Он был специально создан для содержания самых опасных
преступников — худших из худших."
female,char_INORI,Инори Мисоно,message/d09.mbe/000_Sheet1.csv,f_d0903_0025_0030,должен,Кто-нибудь должен поймать плод снизу,"Кто-нибудь должен поймать плод снизу... Я сделаю это. Я
справлюсь с этим."
female,char_INORI,Инори Мисоно,message/d09.mbe/000_Sheet1.csv,f_d0903_0035_0100,уверен,Ты уверен,"Ты уверен? Эти дигимоны, вероятно, нападут, если ты подойдешь
слишком близко..."
female,char_VENUSMON,Венусмон,message/d09.mbe/000_Sheet1.csv,f_d0904_0210_0030,был,Враг был вызван Хрониками Акаши и основан на одном из Семи,"Враг был вызван Хрониками Акаши и основан на одном из Семи
Великих Повелителей Демонов."
female,char_VENUSMON,Венусмон,message/d09.mbe/000_Sheet1.csv,f_d0904_0310_0020,был,Это действительно был самый грозный противник,Это действительно был самый грозный противник...
female,char_TOUDO,Асуна Широки,message/d09.mbe/000_Sheet1.csv,f_d0904_0610_0030,был,"котором говорилось, что он был спасен Дигимоном","Шота Курой, пилот ""гигантского оружия"", прислал сообщение, в
котором говорилось, что он был спасен Дигимоном."
female,char_INORI,Инори Мисоно,message/d09.mbe/000_Sheet1.csv,f_d0904_0610_0050,сделал,Что сделал мой отец,А? Что сделал мой отец?!
female,char_JUNOMON,Юномон,message/d09.mbe/000_Sheet1.csv,f_d0905_0090_0040,должен,Ты должен пройти через ворота,Тогда сейчас. Ты должен пройти через ворота.
female,char_JUNOMON,Юномон,message/d09.mbe/000_Sheet1.csv,f_d0905_0110_0020,должен,Мост должен быть соединен с этими воротами,Мост должен быть соединен с этими воротами.
female,char_MINERVAMON,Минервамон,message/d09.mbe/000_Sheet1.csv,f_d0906_0060_0010,был,Это был,Это был... тяжелый бой. Но... мы победили!
female,char_DIANAMON,Дианамон,message/d09.mbe/000_Sheet1.csv,f_d0906_0060_0030,готов,"Будь готов, когда будешь готов, Аполломон","Будь готов, когда будешь готов, Аполломон!"
female,char_INORI,Инори Мисоно,message/d09.mbe/000_Sheet1.csv,f_d0907_0100_0030,сказал,Эгиомон сказал доверять,"Интересно, что тогда будет с миром... Эгиомон сказал доверять
ему, но..."
female,char_INORI,Инори Мисоно,message/d09.mbe/000_Sheet1.csv,f_d0903_0035_0100__H,уверен,Ты уверен,"Ты уверен? Эти дигимоны, вероятно, нападут, если ты подойдешь
слишком близко..."
female,char_JUNOMON,Юномон,message/d09.mbe/000_Sheet1.csv,f_d0905_0090_0040__H,должен,Ты должен пройти через ворота,Тогда сейчас. Ты должен пройти через ворота.
female,char_TOUDO,Асуна Широки,message/d11.mbe/000_Sheet1.csv,f_d1101_0130_0010,был,"тот Блэкгатомон, что был раньше","Ты... тот Блэкгатомон, что был раньше! Ты только что спас нас...?"
female,char_TOUDO,Асуна Широки,message/d11.mbe/000_Sheet1.csv,f_d1101_0150_0010,должен,"зарядил аккумулятор, так что он должен запуститься без проблем","Я быстро проверил, и генератор здесь выглядит нормально. И я
зарядил аккумулятор, так что он должен запуститься без проблем."
female,char_TOUDO,Асуна Широки,message/d11.mbe/000_Sheet1.csv,f_d1102_0100_0007,был,Он не был полностью уничтожен,"*вздох* Что ж, это облегчение. Он не был полностью уничтожен."
female,char_TOUDO,Асуна Широки,message/d11.mbe/000_Sheet1.csv,f_d1102_0120_0090,должен,Скоро вам должен позвонить доктор Симмонс,Скоро вам должен позвонить доктор Симмонс.
female,char_VENUSMON,Венусмон,message/d12.mbe/000_Sheet1.csv,f_d1204_0120_0040,был,"Если бы я получила известие хотя бы на день раньше, возможно, был","Если бы я получила известие хотя бы на день раньше, возможно, был
бы какой-то способ продлить это событие—"
male,char_SIMMONS,Доктор Симмонс,message/d12.mbe/000_Sheet1.csv,f_d1204_0500_0040,уверена,"уверена, что этих ворот здесь никогда раньше не было","Но в какой-то момент, похоже, ее заклинило. По крайней мере, я
уверена, что этих ворот здесь никогда раньше не было."
female,char_TOUDO,Асуна Широки,message/d12.mbe/000_Sheet1.csv,f_d1204_0510_0020,был,"Возможно, что-то случилось с Дигимоном, который должен был","Возможно, что-то случилось с Дигимоном, который должен был
присматривать за этим."
female,char_TOUDO,Асуна Широки,message/d12.mbe/000_Sheet1.csv,f_d1204_0510_0020,должен,"Возможно, что-то случилось с Дигимоном, который должен был","Возможно, что-то случилось с Дигимоном, который должен был
присматривать за этим."
male,char_SIMMONS,Доктор Симмонс,message/d12.mbe/000_Sheet1.csv,f_d1206_0010_0010,слышала,Я слышала от местных жителей о вашей деятельности в цифровом,"Я слышала от местных жителей о вашей деятельности в цифровом
мире."
male,char_SIMMONS,Доктор Симмонс,message/d12.mbe/000_Sheet1.csv,f_d1206_0040_0030,поняла,"Узнав их ближе, я поняла, что вы сделали восемь лет назад","Я... хотела найти способ мирно жить рядом с дигимонами.
Узнав их ближе, я поняла, что вы сделали восемь лет назад."
male,char_SIMMONS,Доктор Симмонс,message/d12.mbe/000_Sheet1.csv,f_d1206_0040_0030,хотела,хотела найти способ мирно жить рядом с дигимонами,"Я... хотела найти способ мирно жить рядом с дигимонами.
Узнав их ближе, я поняла, что вы сделали восемь лет назад."
female,char_INORI,Инори Мисоно,message/d12.mbe/000_Sheet1.csv,f_d1206_0040_0140,был,"был какой-нибудь персонаж, который выглядел бы так","Ха. Я всё время смотрела ""Агента Альфу"", но не помню, чтобы там
был какой-нибудь персонаж, который выглядел бы так..."
female,char_TOUDO,Асуна Широки,message/d13.mbe/000_Sheet1.csv,f_d1301_0170_0030,должен,"получение идентификатора супервайзера, должен быть где-то здесь","Компьютер, принадлежащий человеку, который сделал этот запрос на
получение идентификатора супервайзера, должен быть где-то здесь."
female,char_TOUDO,Асуна Широки,message/d13.mbe/000_Sheet1.csv,f_d1301_0170_0030,сделал,"Компьютер, принадлежащий человеку, который сделал этот запрос на","Компьютер, принадлежащий человеку, который сделал этот запрос на
получение идентификатора супервайзера, должен быть где-то здесь."
female,char_TOUDO,Асуна Широки,message/d13.mbe/000_Sheet1.csv,f_d1301_0320_0010,сделал,Ты сделал это,Ты сделал это! Это идентификационный номер руководителя!
female,char_TOUDO,Асуна Широки,message/d13.mbe/000_Sheet1.csv,f_d1301_0330_0010,был,Это был грозный противник,Это был грозный противник.
male,char_SIMMONS,Доктор Симмонс,message/d13.mbe/000_Sheet1.csv,f_d1304_0020_0020,сделала,Я сделала поддельное удостоверение личности,"Я сделала поддельное удостоверение личности. Это должно позволить
нам пройти через вход."
female,char_TOUDO,Асуна Широки,message/d13.mbe/000_Sheet1.csv,f_d1301_0320_0010__H,сделал,Ты сделал это,Ты сделал это! Это идентификационный номер руководителя!
male,char_OPERATOR_M,Оператор,message/d14.mbe/000_Sheet1.csv,f_d1401_0060_0015,была,"Может быть, это и есть то, для чего была построена Стена","Может быть, это и есть то, для чего была построена Стена...?"
