string2 0,string 1
1,
1000,Просмотреть список дигимонов или изменить отряд.
1001,
1002,
1003,Смотреть информацию о всех полученных или обнаруженных Дигимонах.
1004,Просматривайте и используйте предметы из инвентаря.
1005,"Изучить навыки агента, менять кросс-арты и костюмы."
1006,"Изменить настройки игры, сохранить, загрузить или смотреть учебные пособия."
1008,Просмотр статуса текущих миссий.
1009,Смена различных настроек игры.
1010,Сохранить текущий прогресс.
1011,Загрузите существующие сохранённые данные и возобновите игру.
1012,Просмотреть различные обучающие материалы по игре.
1013,
1014,
1015,
1016,
1017,
1018,
1019,Эволюционировать или деволюционировать ваших Дигимонов.
1020,"Усилить дигимона, синтезируя его с другими дигимонами."
1021,Материализация и найм Дигимонов со статусом сканирования более 100%.
1022,
1023,"Выберите Дигимона, информацию о котором вы хотели бы просмотреть."
1024,"Информация о чертах характера, статистике и навыках, которым можно научиться."
1025,Информация о пути цифровой эволюции Дигимона.
1026,Информация о пути де-эволюции дигимона.
1027,"Изучайте новые навыки агента, чтобы поддерживать своего Дигимона в тренировках и сражениях."
1028,Примерьте и переоденьтесь в другие костюмы.
1029,Выберите костюм для персонажа.
1030,
1031,Выберите учебное пособие для просмотра.
1050,"Настроить отряд, выполнить эволюцию, конвертацию или усиление дигимонов."
1100,Просмотр характеристик дигимонов и настройка боевого состава.
1101,
1200,Материализация и найм Дигимонов со статусом сканирования более 100%.
1300,Выберите дигимона для эволюции или де-эволюции.
1301,
1302,
1400,Просмотреть характеристики дигимона и настроить дополнительные навыки и экипировку.
1401,Выберите дополнительный навык.
1402,Выберите оборудование для настройки.
1500,Выберите Дигимона для улучшения.
1501,
1600,Выберите предмет для просмотра или использования.
1601,"Выберите дигимона, на котором использовать предмет."
1700,Просмотрите подробную информацию о миссии и отметьте свою текущую цель.
1800,Выберите навык агента для просмотра или изучения.
2100,"Выберите, в каком слоте будут сохранены ваши данные."
2101,"Выберите, какие сохранённые данные следует загрузить."
2102,Просматривайте сообщения от ваших союзников.
2103,Просмотр диалогов из прошлого разговора.
10003,Выбор Дигимона для переноса на Дигиферму.
help_reinforcement_01,Выбор Дигимона для использования в качестве дополнительных материалов. ({fc2Выбранный Дигимон будет потерян.})
help_conversion_01,Вернуть дигимона в данные и конвертировать его в иены.
help_conversion_02,Выберите дигимона для обмена на иены. ({fc2Выбранный дигимон будет потерян.})
help_xartsset_01,Выберите кросс-арт для использования в бою.
help_xartsset_02,"Выберите один из кросс-артов, открытых через «Узы верности» в навыках агента."
help_hazamagate_01,Выберите время и место для поездки.
help_hazamagate_02,Выберите выход в Театр Между мирами для перемещения.
help_shop_buy,Выберите товар для покупки.
help_shop_sell,Выберите товар для продажи.
help_shop_development,Выберите элемент для создания.
help_shop_disassembly,Выберите предмет для разборки.
help_digivice_digitter,Просматривайте сообщения от ваших союзников и прошлые диалоги в разговорах.
help_digimoncard_deck_01,Просмотрите свою коллекцию открыток.
help_digimoncard_deck_02,Просмотрите карточки из вашей коллекции и условия получения обнаруженных вами карточек.
help_hazama_d_01,Покиньте Внешнее подземелье и вернитесь в вестибюль.
help_hazama_dl_01,Выберите для прохождения испытание во Внешнем подземелье.
help_item_skilldisc_01,"Выберите дигимона, которому нужно экипировать диск навыка."
help_item_skilldisc_02,Выберите слот для диска навыка.
help_item_equipment_01,"Выберите дигимона, которому нужно экипировать снаряжение."
help_item_equipment_02,Выберите слот для оборудования.
help_recovery_01,Выберите средство восстановления.
help_recovery_02,Выберите Дигимона для восстановления.
help_load_02,Перенесите данные и начните игру с начала. Выберите данные для переноса.
help_option_02,Языковые и графические настройки можно изменить перед запуском игры.
help_systemmenu_01,Возобновить игру.
help_systemmenu_02,Вернуться на главный экран.
help_systemmenu_03,Выход из игры.
help_systemmenu_04,Выбрать фоновую музыку для игры.
help_bgm_01,"Изменить фоновую музыку, которая играет во время исследования локаций."
help_bgm_02,"Изменить фоновую музыку, воспроизводимую во время обычных сражений."
help_bgm_03,"Изменить фоновую музыку, воспроизводимую в меню Дигивайса."
help_bgm_04,"Изменить фоновую музыку, воспроизводимую на Дигиферме."
help_bgm_05,"Изменить фоновую музыку, воспроизводимую во время карточных сражений."
help_bgm_06,"Изменить фоновую музыку, воспроизводимую во время сражений с боссами. (Не
распространяется на определенные сражения.)"
help_clear_01,Выберите слот для сохранения очищенных данных.
