"priority","category","reason","match","scope","package","file","line","key","speaker","source_en","current_ru"
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","addcont_01_text01","message/d120.mbe/000_Sheet1.csv","107","d120_110_010","char_KUREMIKYOKO","""So... you're really going?""","— Итак… ты действительно собираешься?"
"3","machine_phrase","данный/данные","данные","dialogue","addcont_01_text01","message/d130.mbe/000_Sheet1.csv","28","d130_030_080","char_SIMMONS","""It was almost entirely incomprehensible at the time, but I
continued to analyze its data, which I had secretly copied.""","«Тогда оно было почти непостижимо, но я продолжала
анализировать данные, которые тайно скопировала»."
"3","machine_phrase","довольно/действительно/различные перегруз","Действительно","dialogue","addcont_01_text01","message/digimon_chat_dlc01.mbe/000_Sheet1.csv","3","omea_001_1_replay","char_PLAYER_M","Indeed.","Действительно."
"3","machine_phrase","довольно/действительно/различные перегруз","довольно","dialogue","addcont_01_text01","message/digimon_chat_dlc01.mbe/000_Sheet1.csv","10","omea_001_4_reaction_char_OMEGAMON_ALTER-S","char_OMEGAMON_ALTER-S","The conflict between good and evil is simple enough.
If that is your focus, then that's fine by me.","Противостояние добра и зла довольно просто.
Если это твоя цель, я не возражаю."
"3","machine_phrase","присутствие/наличие","присутствие","dialogue","addcont_01_text01","message/dlcep001_field.mbe/000_Sheet1.csv","8","dlcep001_0030_0010","char_BLITZGREYMON","I sense a presence from beyond the door.
I believe it to be our ally Omnimon Zwart.","Я чувствую за дверью чьё-то присутствие.
Думаю, это наш союзник Омегамон Цварт."
"3","machine_phrase","данный/данные","данные","profile","addcont_01_text01","text/digimon_profile_dlc01.mbe/000_Sheet1.csv","2","digimon_0449_profile","","A Mutant Digimon that can travel freely between
Digital Worlds in different dimensions. This baleful
existence devours the data of Digimon in the worlds
it crosses over to, and its purpose is a mystery.
Parallelmon appears in unexpected places at
unexpected times, and its coming heralds
pandemonium for the world. As such, research teams
consider its very appearance to be a calamity. One of
Parallelmon's special moves is Absorbent Bang, which
fires a beam from its eyes that absorbs Digimon.
Anything besides Digimon hit by this beam is flung to
some other dimension. It also has Endless Trance,
which attacks unilaterally from the countless gates it
opens around the enemy.","Дигимон-мутант, свободно перемещающийся между
Цифровыми мирами разных измерений. Это зловещее
существо пожирает данные дигимонов в мирах,
куда проникает, а его истинная цель остаётся тайной.
Параллельмон появляется в неожиданных местах и
в неожиданное время, предвещая миру хаос. Поэтому
исследовательские группы считают само его появление
бедствием. Один из особых приёмов Параллельмона —
«Поглощающий взрыв»: луч из глаз, поглощающий
дигимонов. Всё, что не является дигимоном и попадает
под этот луч, отбрасывается в другое измерение. Ещё
один приём — «Бесконечный транс»: Параллельмон
открывает вокруг врага бесчисленные врата и атакует
из них в одностороннем порядке."
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","addcont_02_text01","message/d220.mbe/000_Sheet1.csv","63","d220_060_030","char_BANCHOSTINGMON","Yes, you are indeed a true Bancho.","Да, ты действительно настоящий Банчо."
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","addcont_02_text01","message/d220.mbe/000_Sheet1.csv","73","d220_060_130","char_BANCHOSTINGMON","I appreciate your concern.
You really do pack quite a punch.","Я ценю вашу заботу.
Ты действительно очень мощная личность."
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","addcont_02_text01","message/d220.mbe/000_Sheet1.csv","89","d220_080_070","char_UNKNOWN","If you are truly worthy of that GAKU-RAN...
Then let your fists do the talking.","Если ты действительно достоин этого ГАКУ-РАН...
Тогда пусть ваши кулаки говорят сами за себя."
"3","machine_phrase","довольно/действительно/различные перегруз","действительно","dialogue","addcont_02_text01","message/d220.mbe/000_Sheet1.csv","104","d220_090_060","char_HIROKO","They've reached a mutual understanding...
I guess their fists really DID do the talking!","Они пришли к взаимопониманию...
Я думаю, их кулаки действительно говорили!"
