type,risk,occurrences,source_variants,files,template,example_keys,source_examples,note
same_ru_different_en,medium,6,3,2,Продолжай в том же духе!,patch_text01:otama_001_1_replay | patch_text01:r_h0310_0010_2_2 | patch_text01:r_h0311_0010_3_5 | patch_text01:r_h0312_0010_2_2 | patch_text01:r_h0312_0010_0_4,"Keep practicing, just like you've been doing! | Keep it up!",Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,9,2,1,Я куплю это у вас.,patch_text01:g_shop001_0040_0010 | patch_text01:g_shop002_0040_0010 | patch_text01:g_shop003_0040_0010 | patch_text01:g_shop004_0040_0010 | patch_text01:g_shop005_0040_0010,I'll buy this from you.,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,6,2,1,"Спасибо, что заглянули. Приходите ещё.",patch_text01:g_shop001_0020_0010 | patch_text01:g_shop003_0020_0010 | patch_text01:g_shop004_0020_0010 | patch_text01:g_shop011_0020_0010 | patch_text01:g_shop012_0020_0010,Thank you for stopping by. Please come again. | Thank you for stopping by. Please come by again.,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,4,2,1,С удовольствием на это посмотрю!,patch_text01:mochi_001_1_replay | patch_text01:migao_001_2_replay | patch_text01:omsha_001_3_replay | patch_text01:magul_001_1_replay,I'd love to see that! | I'd love to see it!,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,3,2,3,"Мне казалось, я велел тебе держаться подальше!",patch_text01:1190120001 | patch_text01:f_d0204_0570_0010 | patch_text01:r_d0204_0020_0020,"I thought I told ya to stay back! | I thought I told you to stay away! | I thought I told ya to stay
back!",Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,3,2,1,Я просто хочу вернуться домой...,patch_text01:r_t0101_0010_0120 | patch_text01:r_t0102_0010_0250 | patch_text01:r_d0206_0010_0020,I just wanna go home... | (...I just want to go home.),Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,1,"...вы, ребята, мои драгоценные лохи.",patch_text01:m280_030_140 | patch_text01:m280_040_110,...you guys are my precious patsies here. | ...you guys are my precious suckers.,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,{d0} не может двигаться из-за отдачи!,patch_text01:12105 | patch_text01:12105,{d0} can't move due to recoil! | {d0} cannot move due to recoil!,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,2,{d0} парализован и не может двигаться!,patch_text01:12006 | patch_text01:12006,{d0} is paralyzed and can't move! | {d0} is paralyzed and cannot move!,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
same_ru_different_en,medium,2,2,1,{d0} получил {is28}{image(ui_icon_btlStatus_013)} болезнь и не может восстанавливать ОС!,patch_text01:119 | patch_text01:100119,{d0} is {is28}{image(ui_icon_btlStatus_013)} Diseased and cannot recover SP! | {d0} have become {is28}{image(ui_icon_btlStatus_013)} Diseased and cannot recover SP!,Одинаковая русская формула скрывает разные английские реплики; проверить потерю оттенков.
