string2 0,string 1
main_010_010_010,"Ты видишь это сообщение? Это система связи под названием
""Дигилайн""."
main_010_010_020,"Ты можешь просматривать сообщения на своём Дигивайсе. Мы будем
активно использовать Дигилайн в дальнейшем."
main_010_010_030,"Документ: ""Дигилайн""

Просмотреть {decision}"
main_010_020_010,"Документ: ""Система Навигации""

Просмотреть {decision}"
main_010_080_010,"Хорошая работа. Как ты видишь, контакт с Дигимоном запускает
битву."
main_010_080_011,"К сожалению, такие битвы неизбежны. Разрешаю использование
Дигиатаки {r2}."
main_010_080_012,"Документ: ""Дигиатаки""

Просмотреть {decision}"
main_010_080_020,"Уничтожение целевого объекта подтверждено. Продолжайте движение
к целевым координатам."
main_010_120_010,"Та девушка сказала, что что-то должно произойти на крыше."
main_010_120_011,"Кажется, у неё больше информации, чем у нас. Возможно, стоит
остаться с ней."
main_020_030_010,"Почему бы не отдохнуть? Твой Дигивайс имеет функцию
восстановления."
main_020_030_020,"Просто оставайся на месте и не двигайся. Твой Дигимон должен
исцелиться."
main_020_030_030,"Документ: ""Режим Регенерации""

Просмотреть {decision}"
main_020_070_010,"Что здесь произошло? Это то, что Стена была построена, чтобы
скрыть?"
main_020_070_011,"Оставь здравый смысл здесь. Аномалии всегда развиваются в
неожиданных направлениях."
main_020_070_020,"Документ: ""Конверсия и Скорость Сканирования""

Просмотреть {decision}"
main_020_090_010,"Похоже, подземный лифт снова работает. Направляйся к метке на
карте."
main_020_070_030,"При прогрессивном усилении в конечном итоге упреждающая атака
твоей Дигиатаки {r2} иногда будет достаточной, чтобы закончить
битву до её начала."
main_020_070_031,"Это поможет тебе выполнять миссии более эффективно, так что
надеюсь, ты будешь этим пользоваться."
main_020_120_010,"Я продолжу подниматься наверх. Я беспокоюсь о нашем маленьком
друге!"
main_020_120_011,Встретимся позже на крыше!
main_020_160_010,"Взаимодействия с неизвестной фазово-электронной формой жизни...
Должен быть ценным образцом."
main_020_160_011,"Мы передадим данные в аналитический отдел. Продолжай
расследование."
main_050_020_010,"Нам нужно откалибровать твой Дигивайс, поэтому, пожалуйста,
направляйся к этим трём конкретным точкам."
main_050_020_011,"Я отправил координаты на твою карту. Нам необходимо подтвердить
точность системы данных о местоположении, так что я ценю твоё
сотрудничество."
main_050_030_010,Ты смог поговорить с папой? Он не сказал тебе ничего странного?
main_050_030_011,"Ты всегда можешь его отшить, если он начнёт докучать вопросами!
Я точно ему всыплю!"
main_050_030_012,"Просто напиши мне, если что-то понадобится!"
main_050_030_020,"Инори Мисоно... Когда ты впервые встретил её, твой Дигивайс
определил её как существующий контакт."
main_050_030_021,"Возможно, причина в сообщениях Дигилайн, которые были только
что. По крайней мере, журнал этих сообщений уже должен был быть
на её устройстве."
main_050_030_022,"Может, твой Дигивайс смог это обнаружить..."
main_050_030_023,"Может, твой Дигивайс смог это обнаружить..."
main_050_035_005,"Хорошо. Ты на позиции. Теперь жди. Я начну вносить
корректировки."
main_050_035_010,"Твои координаты получены без проблем. Продолжай к
следующей точке."
main_050_038_005,"Хорошо. Ты на позиции. Теперь жди. Я начну вносить
корректировки."
main_050_038_010,"Калибровка проходит успешно. Направляйся к последней
точке."
main_060_080_010,"Эта девушка только что упомянула ""фазово-электронную форму жизни""?"
main_060_080_011,"С ней что-то не так. Тебе лучше держать её под пристальным
наблюдением."
main_060_080_012,"Мне нужна каждая крупица информации о ней, какой бы
незначительной она ни была. Этот мир... У него... заканчивается
время, и быстро."
main_060_090_010,"Кажется, ряд образцов Дигимонов признаёт всё, чего они никогда
раньше не видели, врагом, без лишних вопросов."
