family,package,relative_path,row_id,speaker,english_source,current_russian,status
Bite idiom/literal bite,patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0905_0010_0190,char_VULCANUSMON,"We didn't want any assassins following us over the bridge,
but it looks like that plan of ours came back to bite us!","Мы не хотели, чтобы убийцы перешли мост вслед за нами,
но наш план обернулся против нас — и больно укусил!",localized
Bite idiom/literal bite,patch_text01,message/sow_202.mbe/000_Sheet1.csv,sow_202_040,char_SIMMONS,"But this is Kuga we're dealing with here... so leaving these
Kuramon to roam free may come back to bite us in a big way.","Но это же Куга... Если отпустить курамонов на волю,
нам это ещё аукнется — и больно укусит.",localized
EDEN/Edion/oden,patch_text01,message/s200_149.mbe/000_Sheet1.csv,s200_149_770,char_HIROKO,"Project EDEN...? What's that? ""Eden"" is...",Проект «ЭДЕМ»?.. Что такое «Эдем»?,localized
EDEN/Edion/oden,patch_text01,message/s200_149.mbe/000_Sheet1.csv,s200_149_780,char_PLAYER_M,{next}Paradise.,{next}Рай.,localized
EDEN/Edion/oden,patch_text01,message/s200_149.mbe/000_Sheet1.csv,s200_149_781,char_PLAYER_M,{next}An electronics store.,{next}Сеть магазинов «Эдион».,localized
EDEN/Edion/oden,patch_text01,message/s200_149.mbe/000_Sheet1.csv,s200_149_782,char_PLAYER_M,{next}A stew with fish cakes and daikon.,"{next}То, что мы едим.",localized
EDEN/Edion/oden,patch_text01,message/s200_149.mbe/000_Sheet1.csv,s200_149_790,char_HIROKO,"Oh, right! Like ""Garden of Eden."" Wonder what kinda project
would borrow that for its name.","Точно, Эдемский сад! Интересно, что за проект
позаимствовал это название.",localized
EDEN/Edion/oden,patch_text01,message/s200_149.mbe/000_Sheet1.csv,s200_149_800,char_HIROKO,"So handy how it also sells food and office supplies. But we
aren't talking about Edion!","Точно, там продают еду и канцтовары. Но мы сейчас
не про «Эдион»!",localized
EDEN/Edion/oden,patch_text01,message/s200_149.mbe/000_Sheet1.csv,s200_149_810,char_HIROKO,"I hope you just misheard me, because I can't believe you'd
make such an awful ""oden"" pun.","Надеюсь, мне послышалось. Неужели всё это было
ради ужасного каламбура «Эдем — едим»?",localized
Horse idiom/pun,patch_text01,message/s110_093.mbe/000_Sheet1.csv,s110_093_372,char_PLAYER_M,"{next}Hopefully, you're done horsing around.","{next}Надеюсь, ты больше не будешь валять коня.",localized
Horse idiom/pun,patch_text01,message/s110_093.mbe/000_Sheet1.csv,s110_093_400,char_CRANIAMON,"That wasn't meant to be a lame horse pun, was it? I hope
you're better than that...","Это сейчас был каламбур про «валять коня»?
Надеюсь, это не твой уровень...",localized
Lilamon proverb contrast,patch_text01,message/digimon_chat.mbe/000_Sheet1.csv,lyla_001_0_char_LILAMON,char_LILAMON,"Every beautiful flower has its poison, you know.",У каждого прекрасного цветка есть свой яд.,localized
Lilamon proverb contrast,patch_text01,message/digimon_chat.mbe/000_Sheet1.csv,lyla_001_2_reaction_char_LILAMON,char_LILAMON,"That may be true as well. If you're putting in that much thought,
I guess you'll be fine.","И это тоже верно. Раз ты так вдумчиво к этому относишься,
думаю, всё будет хорошо.",localized
Lilamon proverb contrast,patch_text01,message/digimon_chat.mbe/000_Sheet1.csv,lyla_001_2_replay,char_PLAYER_M,"Don't you mean ""has its thorns""?",Разве не говорят: «У каждой розы есть шипы»?,localized
Minervamon: gubmint,patch_text01,message/m030.mbe/000_Sheet1.csv,m030_010_090,char_MINERVAMON,"Some ""gubmint building""... exploded? What're you talking about?","Какое-то «правитмственное здание»... взорвалось?
Ты вообще о чём?",localized
Nanimon/Nannymon,patch_text01,message/d05.mbe/000_Sheet1.csv,f_d0502_0150_0110,char_UNKNOWN,Who am I? I'm Nanimon!,Кто я? Я Нанимон!,localized
Nanimon/Nannymon,patch_text01,message/d05.mbe/000_Sheet1.csv,f_d0502_0150_0120,char_AEGIOMON,"""Nannymon""? You take care of little Digimon kids...?",«Нянимон»? Ты нянчишь маленьких дигимонов?..,localized
Nanimon/Nannymon,patch_text01,message/d05.mbe/000_Sheet1.csv,f_d0502_0150_0130,char_NANIMON,"No! I'm ""Nanimon!"" Clean out your damn ears!",Нет! Я Нанимон! Уши прочисти!,localized
