priority,category,package,file,line,row_id,speaker,shared_mf_alias,marker,recommended_action,source_en,current_ru,tags
4,machine_phrase,patch_text01,message/field_text.mbe/000_Sheet1.csv,768,g_shop096_0030_0010,char_BARTENDER,,"Это то, что",буквальный английский каркас фразы,,"Это то, что тебе нужно?",
4,machine_phrase,patch_text01,message/field_text.mbe/000_Sheet1.csv,772,g_shop099_0030_0010,char_BARTENDER,,"Это то, что",буквальный английский каркас фразы,,"Это то, что тебе нужно?",
4,possible_player_address_gender,addcont_01_text01,message/d110.mbe/000_Sheet1.csv,8,d110_020_010,char_BLITZGREYMON,,сделал,"проверить, относится ли форма к игроку",,Что ты сделал с нашими друзьями?!,d110_020_010
4,possible_player_address_gender,addcont_01_text01,message/d110.mbe/000_Sheet1.csv,66,d110_080_010,char_MIRAGEGAOGAMON,,сделала,"проверить, относится ли форма к игроку",,Что ты сделала с моим хозяином?!,
4,possible_player_address_gender,addcont_01_text01,message/d120.mbe/000_Sheet1.csv,57,d120_060_030,char_SUMERAGI,,сказал,"проверить, относится ли форма к игроку",,"«Ч-что ты сказал?
Капитан тяжело ранен?!»",d120_060_030
4,possible_player_address_gender,addcont_01_text01,message/d130.mbe/000_Sheet1.csv,42,d130_060_020,char_KUREMI,,сделала,"проверить, относится ли форма к игроку",,"«У меня есть оружие, которое ты сделала.
С ним у меня хотя бы будет шанс».",d130_060_020
4,possible_player_address_gender,addcont_01_text01,message/d140.mbe/000_Sheet1.csv,4,d140_010_030,char_KUREMIKYOKO,,сам,"проверить, относится ли форма к игроку",,"Насколько я помню, ты сам всегда игнорировал
всё, что говорили мы с мамой.",d140_010_030
4,possible_player_address_gender,addcont_01_text01,message/d140.mbe/000_Sheet1.csv,9,d140_010_080,char_BLITZGREYMON,,права,"проверить, относится ли форма к игроку",,"Да, похоже, ты права...
Этот человек пытается помочь нашим друзьям.",d140_010_080
4,possible_player_address_gender,addcont_01_text01,message/d140.mbe/000_Sheet1.csv,29,d140_025_090,char_BLITZGREYMON,,был,"проверить, относится ли форма к игроку",,Ты был готов рисковать собой ради нас...,d140_025_090
4,possible_player_address_gender,addcont_01_text01,message/d140.mbe/000_Sheet1.csv,32,d140_025_120,char_KUREMI,,пришёл,"проверить, относится ли форма к игроку",,"Ты пришёл сюда вместе с моей дочерью...
Для меня этого достаточно.",d140_025_120
4,possible_player_address_gender,addcont_01_text01,message/d140.mbe/000_Sheet1.csv,61,d140_040_100,char_OMEGAMON_ALTER-S,,уверена,"проверить, относится ли форма к игроку",,"Ты уверена?
Я думал, ты ненавидишь Дигимонов...",d140_040_100
4,possible_player_address_gender,addcont_01_text01,message/dlcep001_field.mbe/000_Sheet1.csv,10,dlcep001_0030_0012,char_KUREMIKYOKO,,готов,"проверить, относится ли форма к игроку",,"Я должна высказать ему всё, что думаю!
Пойдём через дверь. Ты готов?",
4,possible_player_address_gender,addcont_01_text01,message/dlcep001_field.mbe/000_Sheet1.csv,11,dlcep001_0030_0013,char_KUREMIKYOKO,,готов,"проверить, относится ли форма к игроку",,Пойдём через дверь. Ты готов?,
4,possible_player_address_gender,addcont_01_text01,message/dlcep001_field.mbe/000_Sheet1.csv,28,dlcep001_0120_0010,char_AEGIOMON,,готов,"проверить, относится ли форма к игроку",,"Впереди тяжёлая битва.
Ты готов?",
4,possible_player_address_gender,addcont_02_text01,message/d210.mbe/000_Sheet1.csv,34,d210_040_070,char_HIROKO,,был,"проверить, относится ли форма к игроку",,"Где ты был?!
Я уже думала, что ты погиб!",d210_040_070
4,possible_player_address_gender,addcont_02_text01,message/d220.mbe/000_Sheet1.csv,21,d220_030_150,char_BANCHOLEOMON,,вернулась,"проверить, относится ли форма к игроку",,"Ты не вернулась, поэтому я начал волноваться.",d220_030_150
4,possible_player_address_gender,addcont_03_text01,message/d310.mbe/000_Sheet1.csv,20,d310_030_080,char_OMEGAMON-X,,ранен,"проверить, относится ли форма к игроку",,"Похоже, тебя втянуло в нашу битву,
и последствия вышли катастрофическими. Надеюсь, ты не ранен.",
4,possible_player_address_gender,addcont_03_text01,message/d310.mbe/000_Sheet1.csv,111,d310_100_010,char_OMEGAMON-X,,ранен,"проверить, относится ли форма к игроку",,"С тобой все в порядке?
Я очень надеюсь, что ты не ранен.",
4,possible_player_address_gender,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,51,d320_030_010,char_JESMON_X,,согласен,"проверить, относится ли форма к игроку",,"Что-то в этом месте кажется... знакомым.
Ты не согласен, Омегамон?",
4,possible_player_address_gender,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,146,d320_070_060,char_TOUDO,,сказал,"проверить, относится ли форма к игроку",,"«Помнишь, что ты сказал мне, когда я только поступил
в общественную безопасность?»",
4,possible_player_address_gender,addcont_03_text01,message/d320.mbe/000_Sheet1.csv,151,d320_070_110,char_TOUDO,,сказал,"проверить, относится ли форма к игроку",,"«Ты сказал, что для службы в общественной безопасности
нужны именно такие люди, как я».",
4,possible_player_address_gender,patch_text01,message/arena01.mbe/000_Sheet1.csv,88,arena01_f001_010_047,char_SOCERIMON,,сказал,"проверить, относится ли форма к игроку",,"Нет, даже близко! С дурацким выражением лица ты сказал:
«Когда наши могучие силы объединятся...»",
4,possible_player_address_gender,patch_text01,message/arena01.mbe/000_Sheet1.csv,239,arena01_m320_020_041,char_TONOSAMAGEKOMON,,был,"проверить, относится ли форма к игроку",,"Хм, глурп? Главарь, когда ты успел обзавестись семьей, глурп?
Ты был холост, сколько я тебя знаю, глурп...",
4,possible_player_address_gender,patch_text01,message/d01.mbe/000_Sheet1.csv,35,f_d0101_0100_0020,char_SOCERIMON,,уверен,"проверить, относится ли форма к игроку",,Ты уверен в этом?! Что ты только что сделал?!,
4,possible_player_address_gender,patch_text01,message/d01.mbe/000_Sheet1.csv,209,f_d0108_0040_0040,char_VIKEMON,,сделал,"проверить, относится ли форма к игроку",,"Ты сделал более чем достаточно... И мы больше не собираемся
этого терпеть!",
4,possible_player_address_gender,patch_text01,message/d02.mbe/000_Sheet1.csv,24,f_d0201_0050_0090,char_TYUMON,,должен,"проверить, относится ли форма к игроку",,"Меркуримон - главный босс этого города! Ты должен найти его в
таверне в том переулке!",f_d0201_0050_0090
4,possible_player_address_gender,patch_text01,message/d02.mbe/000_Sheet1.csv,62,f_d0201_0260_0010,char_LUNAMON,,смог,"проверить, относится ли форма к игроку",,"Ты смог починить Локомона! Это значит, что мы наконец-то можем
отправиться в храм Юномон.",
4,possible_player_address_gender,patch_text01,message/d02.mbe/000_Sheet1.csv,180,f_d0201_0670_0020,char_PUMPMON,,был,"проверить, относится ли форма к игроку",,"... Подожди. Напомни, кем ты был?...Но неважно. Ничего
особенного.",
4,possible_player_address_gender,patch_text01,message/d02.mbe/000_Sheet1.csv,293,f_d0202_0040_0030,char_LUNAMON,,знал,"проверить, относится ли форма к игроку",,"Скажи, ты знал, что Меркуримон давным-давно был странником?",
4,possible_player_address_gender,patch_text01,message/d02.mbe/000_Sheet1.csv,457,f_d0202_0630_0010,char_PRINCEMAMEMON,,один,"проверить, относится ли форма к игроку",,"Ну, приветик! О да, я тебя помню... Ты один из моих
поклонников, да?!",
4,possible_player_address_gender,patch_text01,message/d02.mbe/000_Sheet1.csv,483,f_d0202_0750_0010,char_WEREGARURUMON,,был,"проверить, относится ли форма к игроку",,"Ого, где ты был? Давай! Ты звезда шоу, которая помогла вернуть
город!",
4,possible_player_address_gender,patch_text01,message/d02.mbe/000_Sheet1.csv,737,f_d0204_9010_0010,char_STARMON,,готов,"проверить, относится ли форма к игроку",,... Ты следующий? Очень хорошо! Ты готов?!,
4,possible_player_address_gender,patch_text01,message/d02.mbe/000_Sheet1.csv,810,f_d0209_0050_0020,char_INORI,,ранен,"проверить, относится ли форма к игроку",,Ты ранен? Титаны сделали это с тобой?,
4,possible_player_address_gender,patch_text01,message/d03.mbe/000_Sheet1.csv,31,f_d0301_0060_0020,char_DAGOMON,,был,"проверить, относится ли форма к игроку",,"Где ты был, брат мой...? Я искал тебя повсюду!",
4,possible_player_address_gender,patch_text01,message/d03.mbe/000_Sheet1.csv,35,f_d0301_0060_0060,char_DAGOMON,,уверен,"проверить, относится ли форма к игроку",,"Хмм? Ты уверен...? Я видел, как кто-то ходил вокруг...",
